feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63
0.080749765,0.0,0.0,0.0,0.0684224,0.0,0.0,0.0,0.080286264,0.128222,0.0,0.08690934,0.10804868,0.09978184,0.0,0.0,0.020762248,0.0,0.0,0.0,0.0,0.0,0.0,0.061704047,0.048200116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082646325,0.06969293,0.0,0.0678958,0.13569279,0.0642754,0.0,0.0,0.0,0.12231472,0.0,0.0,0.021301616,0.0,0.07288286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010339254,0.0,0.012065766,0.021139916,0.0,0.0124125285,0.0014367634,0.0,0.04106464,0.034944355
0.07331485,0.0,0.0,0.0,0.07122822,0.0,0.0,0.0,0.08602739,0.1167526,0.0,0.08871528,0.10054541,0.099772155,0.0,0.0,0.017299242,0.0,0.0,0.0,0.0,0.0,0.0,0.061664008,0.05365172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08079096,0.06677035,0.0,0.0757058,0.13177451,0.06453349,0.0,0.0,0.0,0.118007705,0.0,0.0,0.0158346,0.0,0.074531116,0.0,0.0,0.001329496,0.0,0.0,0.0,0.0,0.0058212583,0.0,0.01295791,0.014378836,0.0,0.016735805,0.0,0.0,0.041432794,0.035169158
0.080749765,0.0,0.0,0.0,0.0684224,0.0,0.0,0.0,0.080286264,0.128222,0.0,0.08690934,0.10804868,0.09978184,0.0,0.0,0.020762248,0.0,0.0,0.0,0.0,0.0,0.0,0.061704047,0.048200116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082646325,0.06969293,0.0,0.0678958,0.13569279,0.0642754,0.0,0.0,0.0,0.12231472,0.0,0.0,0.021301616,0.0,0.07288286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010339254,0.0,0.012065766,0.021139916,0.0,0.0124125285,0.0014367634,0.0,0.04106464,0.034944355
0.07331485,0.0,0.0,0.0,0.07122822,0.0,0.0,0.0,0.08602739,0.1167526,0.0,0.08871528,0.10054541,0.099772155,0.0,0.0,0.017299242,0.0,0.0,0.0,0.0,0.0,0.0,0.061664008,0.05365172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08079096,0.06677035,0.0,0.0757058,0.13177451,0.06453349,0.0,0.0,0.0,0.118007705,0.0,0.0,0.0158346,0.0,0.074531116,0.0,0.0,0.001329496,0.0,0.0,0.0,0.0,0.0058212583,0.0,0.01295791,0.014378836,0.0,0.016735805,0.0,0.0,0.041432794,0.035169158
0.07414247,0.0,0.0,0.0,0.069179125,0.0,0.0,0.0,0.08451122,0.1159953,0.0,0.08890291,0.100215465,0.099970534,0.0,0.0,0.01776036,0.0,0.0,0.0,0.0,0.0,0.0,0.06292036,0.052635923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08019309,0.06558597,0.0,0.07551922,0.13107094,0.06265426,0.0,0.0,0.0,0.11568193,0.0,0.0,0.0154733835,0.0,0.07424238,0.0,0.0,0.0025608176,0.0,0.0,0.0,0.0,0.005379202,0.0,0.013807964,0.016053872,0.0,0.017348675,0.0,0.0,0.041218817,0.036221273
0.07919815,0.0,0.0,0.0,0.06922799,0.0,0.0,0.0,0.082753494,0.12828791,0.0,0.08640261,0.10601597,0.09899946,0.0,0.0,0.022328222,0.0,0.0,0.0,0.0,0.0,0.0,0.06215367,0.04878909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08192518,0.06840043,0.0,0.07029404,0.13591208,0.066001885,0.0,0.0,0.0,0.12328375,0.0,0.0,0.019733407,0.0,0.07401863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113085965,0.0,0.012376844,0.019068696,0.0,0.011930969,0.0014444785,0.0,0.04152122,0.035674818
0.07414247,0.0,0.0,0.0,0.069179125,0.0,0.0,0.0,0.08451122,0.1159953,0.0,0.08890291,0.100215465,0.099970534,0.0,0.0,0.01776036,0.0,0.0,0.0,0.0,0.0,0.0,0.06292036,0.052635923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08019309,0.06558597,0.0,0.07551922,0.13107094,0.06265426,0.0,0.0,0.0,0.11568193,0.0,0.0,0.0154733835,0.0,0.07424238,0.0,0.0,0.0025608176,0.0,0.0,0.0,0.0,0.005379202,0.0,0.013807964,0.016053872,0.0,0.017348675,0.0,0.0,0.041218817,0.036221273
0.07970198,0.0,0.0,0.0,0.07135449,0.0,0.0,0.0,0.082125805,0.12894742,0.0,0.08857449,0.10717024,0.0989424,0.0,0.0,0.021493435,0.0,0.0,0.0,0.0,0.0,0.0,0.061129145,0.04903222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082339056,0.06772284,0.0,0.06933065,0.13544407,0.06659502,0.0,0.0,0.0,0.12373751,0.0,0.0,0.018851021,0.0,0.07556387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008881182,0.0,0.010854698,0.019496035,0.0,0.013297674,0.0007120413,0.0,0.043225195,0.03687057
0.073479496,0.0,0.0,0.0,0.0713712,0.0,0.0,0.0,0.08611924,0.11695115,0.0,0.08859569,0.0991879,0.09978378,0.0,0.0,0.016460877,0.0,0.0,0.0,0.0,0.0,0.0,0.061317865,0.053596936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07974788,0.06672996,0.0,0.07613784,0.1320462,0.064531274,0.0,0.0,0.0,0.117203854,0.0,0.0,0.01566106,0.0,0.07497296,0.0,0.0,0.0013390626,0.0,0.0,0.0,0.0,0.0065475735,0.0,0.013463427,0.013987174,0.0,0.016362708,0.0,0.0,0.041219484,0.034689333
0.07970198,0.0,0.0,0.0,0.07135449,0.0,0.0,0.0,0.082125805,0.12894742,0.0,0.08857449,0.10717024,0.0989424,0.0,0.0,0.021493435,0.0,0.0,0.0,0.0,0.0,0.0,0.061129145,0.04903222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082339056,0.06772284,0.0,0.06933065,0.13544407,0.06659502,0.0,0.0,0.0,0.12373751,0.0,0.0,0.018851021,0.0,0.07556387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008881182,0.0,0.010854698,0.019496035,0.0,0.013297674,0.0007120413,0.0,0.043225195,0.03687057
0.073479496,0.0,0.0,0.0,0.0713712,0.0,0.0,0.0,0.08611924,0.11695115,0.0,0.08859569,0.0991879,0.09978378,0.0,0.0,0.016460877,0.0,0.0,0.0,0.0,0.0,0.0,0.061317865,0.053596936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07974788,0.06672996,0.0,0.07613784,0.1320462,0.064531274,0.0,0.0,0.0,0.117203854,0.0,0.0,0.01566106,0.0,0.07497296,0.0,0.0,0.0013390626,0.0,0.0,0.0,0.0,0.0065475735,0.0,0.013463427,0.013987174,0.0,0.016362708,0.0,0.0,0.041219484,0.034689333
0.079619296,0.0,0.0,0.0,0.07056394,0.0,0.0,0.0,0.08160998,0.1288477,0.0,0.08608675,0.106180996,0.098220415,0.0,0.0,0.022702117,0.0,0.0,0.0,0.0,0.0,0.0,0.060978554,0.04944276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08296398,0.066961825,0.0,0.069530584,0.13588871,0.0654033,0.0,0.0,0.0,0.121573865,0.0,0.0,0.01868323,0.0,0.07260833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011446504,0.0,0.010806369,0.019200683,0.0,0.012773847,0.00084973965,0.0,0.042021807,0.035376184
